HD,temperature,g,v
33328,19526,3.30,287
35165,17000,4.00,240
35411,25900,4.50,53
35439,25300,3.50,260
37041,27500,3.72,140
37795,12200,3.50,
41335,22500,3.35,330
42167,11430,3.00,
45725,19600,3.40,280
45910,21300,3.94,100
48917,22130,3.30,200
50013,26000,3.90,290
52918,25450,4.50,242
56014,19300,3.80,200
56139,17170,3.89,100
57150,22000,3.50,180
57219,19300,3.99,50
57682,30000,4.00,10
58343,20000,3.56,10
58715,11820,3.20,
60606,18000,3.53,250
63462,26000,2.90,300
68423,12100,4.00,
68980,23668,3.32,110
71510,17643,4.10,150
75311,23895,4.00,250
78764,19000,3.80,140
83953,15000,2.54,250
89080,11600,3.50,
89890,15000,3.00,26.8
91465,17410,2.96,280
92938,19000,3.48,110
93563,15000,2.30,280
98058,8200,3.00,
102776,20000,3.20,200
103192,10980,2.52,
105382,15000,3.40,67.5
105435,22150,3.43,250
107348,12830,2.26,
110335,10600,2.90,
110432,22000,3.00,400
112078,16500,3.01,290
120324,23950,4.00,110
121492,4736,2.00,
124195,15000,4.00,150
124367,19650,3.00,260
124771,17100,3.50,150
127972,21000,3.95,240
131492,20000,4.00,100
135734,13500,3.80,
138769,18400,3.50,30
142983,18000,3.71,370
143275,30900,3.50,257
148184,30000,3.53,150
157042,22000,3.90,280
157246,21240,3.50,230
167128,20000,3.80,50
205637,20000,4.10,230
209014,12200,3.30,
209409,15000,3.00,350
212076,18000,4.00,100
212571,24500,3.40,215
214748,11500,3.90,
217891,16000,3.00,90
219688,14200,3.86,
221507,11000,4.40,
224686,10500,3.35,
